site_id	plot_id	gps_north	gps_east	locality	section	group_of_sites_spatial	type_of_sites_ecological	site	year	month	day	date	observer_1	observer_2	grubbing_plot
adv-end-1-dis-1	n2	8679698.46	518757.37	adv	end	1	dis	1	2023	7	15	15.07.2023	zabdi_lopez	lea_lipphardt	NA
adv-end-1-dis-1	n2	8679698.46	518757.37	adv	end	1	dis	1	2023	7	15	15.07.2023	zabdi_lopez	lea_lipphardt	NA
adv-end-1-dis-1	n2	8679698.46	518757.37	adv	end	1	dis	1	2023	7	15	15.07.2023	zabdi_lopez	lea_lipphardt	p
adv-end-1-dis-1	n2	8679698.46	518757.37	adv	end	1	dis	1	2023	7	15	15.07.2023	zabdi_lopez	lea_lipphardt	NA
adv-end-1-dis-1	n2	8679698.46	518757.37	adv	end	1	dis	1	2023	7	15	15.07.2023	zabdi_lopez	lea_lipphardt	NA
adv-end-1-dis-1	n2	8679698.46	518757.37	adv	end	1	dis	1	2023	7	15	15.07.2023	zabdi_lopez	lea_lipphardt	p
adv-end-1-dis-1	n2	8679698.46	518757.37	adv	end	1	dis	1	2023	7	15	15.07.2023	zabdi_lopez	lea_lipphardt	NA
adv-end-1-dis-1	n2	8679698.46	518757.37	adv	end	1	dis	1	2023	7	15	15.07.2023	zabdi_lopez	lea_lipphardt	NA
adv-end-1-dis-2	n2	8679869.4	519076	adv	end	1	dis	2	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	p
adv-end-1-dis-2	n4	8679869.4	519076	adv	end	1	dis	2	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	NA
adv-end-1-dis-2	e2	8679869.4	519076	adv	end	1	dis	2	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	b
adv-end-1-dis-2	e4	8679869.4	519076	adv	end	1	dis	2	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	NA
adv-end-1-dis-2	s2	8679869.4	519076	adv	end	1	dis	2	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	p
adv-end-1-dis-2	s4	8679869.4	519076	adv	end	1	dis	2	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	NA
adv-end-1-dis-2	w2	8679869.4	519076	adv	end	1	dis	2	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	p
adv-end-1-dis-2	w4	8679869.4	519076	adv	end	1	dis	2	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	p
adv-end-1-dry-1	n6	8679395.65	518677.85	adv	end	1	dry	1	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-dry-1	n8	8679395.65	518677.85	adv	end	1	dry	1	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-dry-1	e2	8679395.65	518677.85	adv	end	1	dry	1	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-dry-1	e4	8679395.65	518677.85	adv	end	1	dry	1	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-dry-1	s4	8679395.65	518677.85	adv	end	1	dry	1	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-dry-1	s6	8679395.65	518677.85	adv	end	1	dry	1	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-dry-1	w6	8679395.65	518677.85	adv	end	1	dry	1	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	p
adv-end-1-dry-2	n2	8679420.2	518601.8	adv	end	1	dry	2	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-dry-2	n4	8679420.2	518601.8	adv	end	1	dry	2	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-dry-2	e2	8679420.2	518601.8	adv	end	1	dry	2	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-dry-2	e4	8679420.2	518601.8	adv	end	1	dry	2	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-dry-2	s2	8679420.2	518601.8	adv	end	1	dry	2	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-dry-2	s2	8679420.2	518601.8	adv	end	1	dry	2	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-dry-2	s6	8679420.2	518601.8	adv	end	1	dry	2	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-dry-2	w2	8679420.2	518601.8	adv	end	1	dry	2	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-dry-2	w4	8679420.2	518601.8	adv	end	1	dry	2	2023	7	16	16.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-mos-1	n2	8679630.38	518653.87	adv	end	1	mos	1	2023	7	15	15.07.2023	virve_ravolainen	tabor_noteboom	NA
adv-end-1-mos-1	n4	8679630.38	518653.87	adv	end	1	mos	1	2023	7	15	15.07.2023	virve_ravolainen	tabor_noteboom	NA
adv-end-1-mos-1	e2	8679630.38	518653.87	adv	end	1	mos	1	2023	7	15	15.07.2023	virve_ravolainen	tabor_noteboom	NA
adv-end-1-mos-1	e4	8679630.38	518653.87	adv	end	1	mos	1	2023	7	15	15.07.2023	virve_ravolainen	tabor_noteboom	NA
adv-end-1-mos-1	s2	8679630.38	518653.87	adv	end	1	mos	1	2023	7	15	15.07.2023	virve_ravolainen	tabor_noteboom	NA
adv-end-1-mos-1	s4	8679630.38	518653.87	adv	end	1	mos	1	2023	7	15	15.07.2023	virve_ravolainen	tabor_noteboom	NA
adv-end-1-mos-1	w2	8679630.38	518653.87	adv	end	1	mos	1	2023	7	15	15.07.2023	virve_ravolainen	tabor_noteboom	NA
adv-end-1-mos-1	w4	8679630.38	518653.87	adv	end	1	mos	1	2023	7	15	15.07.2023	virve_ravolainen	tabor_noteboom	NA
adv-end-1-mos-2	n2	8679123	518727	adv	end	1	mos	2	2023	7	18	18.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-mos-2	n4	8679123	518727	adv	end	1	mos	2	2023	7	18	18.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-mos-2	e4	8679123	518727	adv	end	1	mos	2	2023	7	18	18.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-mos-2	e6	8679123	518727	adv	end	1	mos	2	2023	7	18	18.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-mos-2	s2	8679123	518727	adv	end	1	mos	2	2023	7	18	18.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-mos-2	s4	8679123	518727	adv	end	1	mos	2	2023	7	18	18.07.2023	tabor_noteboom	zabdi_lopez	NA
adv-end-1-mos-2	w2	8679123	518727	adv	end	1	mos	2	2023	7	18	18.07.2023	tabor_noteboom	zabdi_lopez	p
adv-end-1-mos-2	w4	8679123	518727	adv	end	1	mos	2	2023	7	18	18.07.2023	tabor_noteboom	zabdi_lopez	p
adv-end-2-dis-1	n2	8680647.89	517964.47	adv	end	2	dis	1	2023	7	26	26.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dis-1	n4	8680647.89	517964.47	adv	end	2	dis	1	2023	7	26	26.07.2023	zabdi_lopez	clement_brun	p
adv-end-2-dis-1	e2	8680647.89	517964.47	adv	end	2	dis	1	2023	7	26	26.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dis-1	e4	8680647.89	517964.47	adv	end	2	dis	1	2023	7	26	26.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dis-1	s2	8680647.89	517964.47	adv	end	2	dis	1	2023	7	26	26.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dis-1	s4	8680647.89	517964.47	adv	end	2	dis	1	2023	7	26	26.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dis-1	w2	8680647.89	517964.47	adv	end	2	dis	1	2023	7	26	26.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dis-1	w2	8680647.89	517964.47	adv	end	2	dis	1	2023	7	26	26.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dis-1	w4	8680647.89	517964.47	adv	end	2	dis	1	2023	7	26	26.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dis-1	w4	8680647.89	517964.47	adv	end	2	dis	1	2023	7	26	26.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dry-1	n2	8680425.67	517705.49	adv	end	2	dry	1	2023	7	6	06.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dry-1	n4	8680425.67	517705.49	adv	end	2	dry	1	2023	7	6	06.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dry-1	e2	8680425.67	517705.49	adv	end	2	dry	1	2023	7	6	06.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dry-1	e4	8680425.67	517705.49	adv	end	2	dry	1	2023	7	6	06.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dry-1	s2	8680425.67	517705.49	adv	end	2	dry	1	2023	7	6	06.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dry-1	s4	8680425.67	517705.49	adv	end	2	dry	1	2023	7	6	06.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dry-1	w2	8680425.67	517705.49	adv	end	2	dry	1	2023	7	6	06.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dry-1	w2	8680425.67	517705.49	adv	end	2	dry	1	2023	7	6	06.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dry-1	w4	8680425.67	517705.49	adv	end	2	dry	1	2023	7	6	06.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-dry-1	w4	8680425.67	517705.49	adv	end	2	dry	1	2023	7	6	06.07.2023	zabdi_lopez	clement_brun	NA
adv-end-2-mos-1	n2	8680568.71	517902.96	adv	end	2	mos	1	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	NA
adv-end-2-mos-1	n4	8680568.71	517902.96	adv	end	2	mos	1	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	p
adv-end-2-mos-1	e2	8680568.71	517902.96	adv	end	2	mos	1	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	NA
adv-end-2-mos-1	e4	8680568.71	517902.96	adv	end	2	mos	1	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	NA
adv-end-2-mos-1	s2	8680568.71	517902.96	adv	end	2	mos	1	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	NA
adv-end-2-mos-1	s4	8680568.71	517902.96	adv	end	2	mos	1	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	NA
adv-end-2-mos-1	w2	8680568.71	517902.96	adv	end	2	mos	1	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	NA
adv-end-2-mos-1	w2	8680568.71	517902.96	adv	end	2	mos	1	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	NA
adv-end-2-mos-1	w4	8680568.71	517902.96	adv	end	2	mos	1	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	NA
adv-end-2-mos-1	w4	8680568.71	517902.96	adv	end	2	mos	1	2023	7	26	26.07.2023	clement_brun	zabdi_lopez	NA
adv-han-1-dis-1	n2	8690198.13	514728.81	adv	han	1	dis	1	2023	7	31	31.07.2023	clement_brun	zabdi_lopez	p
adv-han-1-dis-1	n4	8690198.13	514728.81	adv	han	1	dis	1	2023	7	31	31.07.2023	clement_brun	zabdi_lopez	p
adv-han-1-dis-1	e2	8690198.13	514728.81	adv	han	1	dis	1	2023	7	31	31.07.2023	clement_brun	zabdi_lopez	p
adv-han-1-dis-1	e4	8690198.13	514728.81	adv	han	1	dis	1	2023	7	31	31.07.2023	clement_brun	zabdi_lopez	p
adv-han-1-dis-1	s2	8690198.13	514728.81	adv	han	1	dis	1	2023	7	31	31.07.2023	clement_brun	zabdi_lopez	p
adv-han-1-dis-1	s4	8690198.13	514728.81	adv	han	1	dis	1	2023	7	31	31.07.2023	clement_brun	zabdi_lopez	p
adv-han-1-dis-1	w2	8690198.13	514728.81	adv	han	1	dis	1	2023	7	31	31.07.2023	clement_brun	zabdi_lopez	p
adv-han-1-dis-1	w4	8690198.13	514728.81	adv	han	1	dis	1	2023	7	31	31.07.2023	clement_brun	zabdi_lopez	p
adv-han-1-dis-2	n2	8690153.37	514351.52	adv	han	1	dis	2	2023	7	31	31.07.2023	zabdi_lopez	clement_brun	p
adv-han-1-dis-2	n4	8690153.37	514351.52	adv	han	1	dis	2	2023	7	31	31.07.2023	zabdi_lopez	clement_brun	p
adv-han-1-dis-2	e2	8690153.37	514351.52	adv	han	1	dis	2	2023	7	31	31.07.2023	zabdi_lopez	clement_brun	p
adv-han-1-dis-2	e4	8690153.37	514351.52	adv	han	1	dis	2	2023	7	31	31.07.2023	zabdi_lopez	clement_brun	p
adv-han-1-dis-2	s2	8690153.37	514351.52	adv	han	1	dis	2	2023	7	31	31.07.2023	zabdi_lopez	clement_brun	p
adv-han-1-dis-2	s4	8690153.37	514351.52	adv	han	1	dis	2	2023	7	31	31.07.2023	zabdi_lopez	clement_brun	p
adv-han-1-dis-2	w2	8690153.37	514351.52	adv	han	1	dis	2	2023	7	31	31.07.2023	zabdi_lopez	clement_brun	p
adv-han-1-dis-2	w4	8690153.37	514351.52	adv	han	1	dis	2	2023	7	31	31.07.2023	zabdi_lopez	clement_brun	p
adv-han-1-dry-1	n2	8690089.29	514676.45	adv	han	1	dry	1	2023	7	31	31.07.2023	clement_brun	zabdi_lopez	NA
adv-han-1-dry-1	n4	8690089.29	514676.45	adv	han	1	dry	1	2023	7	31	31.07.2023	clement_brun	zabdi_lopez	NA
