year;date;place;transect ;plot;transect_plot;habitat;frame_no;grub_SPR;probe_SPR ;p_a;observer;;;;;;;;;;;;;;;;;;;;
2011;15_July;Hanaskogdalen N;1;4;14;13;3;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;15_July;Hanaskogdalen N;1;4;14;13;4;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;15_July;Hanaskogdalen N;1;4;14;13;5;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;15_July;Hanaskogdalen N;1;4;14;13;6;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;15_July;Hanaskogdalen N;1;4;14;13;7;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;15_July;Hanaskogdalen N;1;4;14;13;8;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;1;21;11;1;25;2;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;1;21;11;2;50;6;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;1;21;11;3;25;na;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;1;21;11;4;25;3;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;1;21;11;5;25;5;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;1;21;11;6;50;16;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;1;21;11;7;25;8;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;1;21;11;8;25;5;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;2;22;15;1;25;4;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;2;22;15;2;25;5;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;2;22;15;3;25;na;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;2;22;15;4;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;2;22;15;5;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;2;22;15;6;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;2;22;15;7;50;19;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;2;22;15;8;25;5;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;3;23;15;1;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;3;23;15;2;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;3;23;15;3;25;na;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;3;23;15;4;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;3;23;15;5;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;3;23;15;6;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;3;23;15;7;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;3;23;15;8;25;na;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;4;24;15;1;na;2;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;4;24;15;2;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;4;24;15;3;25;3;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;4;24;15;4;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;4;24;15;5;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;4;24;15;6;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;4;24;15;7;25;2;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;2;4;24;15;8;25;1;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;1;31;11;1;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;1;31;11;2;50;12;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;1;31;11;3;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;1;31;11;4;25;4;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;1;31;11;5;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;1;31;11;6;25;5;1;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;1;31;11;7;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;1;31;11;8;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;2;32;15;1;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;2;32;15;2;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;2;32;15;3;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;2;32;15;4;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;2;32;15;5;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;2;32;15;6;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;2;32;15;7;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;2;32;15;8;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
2011;17_July;Hanaskogdalen N;3;3;33;15;1;na;na;0;Aino;;;;;;;;;;;;;;;;;;;;
