plot_id,site_id,locality,section,group_of_sites_spatial,type_of_sites_ecological,site,year,goose,reindeer_winter,reindeer_summer,grubbing_plot,reproductive,ice_damage,litter_frq,lichen_frq,rock_frq,bare_frq,bio_crust_frq,cush_moss_frq,comp_moss_frq,grubbing_cat,grubbing_pa
adv-bjo-1-dis-1-n2,adv-bjo-1-dis-1,adv,bjo,1,dis,1,2017,0,0,0,1,3,0,4,0,0,0,0,12,0,p,1
adv-bjo-1-dis-1-n4,adv-bjo-1-dis-1,adv,bjo,1,dis,1,2017,0,0,0,1,2,0,4,0,0,0,0,12,0,p,1
adv-bjo-1-dis-1-e2,adv-bjo-1-dis-1,adv,bjo,1,dis,1,2017,1,0,0,0,0,0,2,0,0,0,0,12,0,n,0
adv-bjo-1-dis-1-e4,adv-bjo-1-dis-1,adv,bjo,1,dis,1,2017,2,0,0,1,0,0,1,0,0,0,0,12,0,p,1
adv-bjo-1-dis-1-s6,adv-bjo-1-dis-1,adv,bjo,1,dis,1,2017,1,8,0,1,3,0,2,0,0,0,1,11,0,p,1
adv-bjo-1-dis-1-s8,adv-bjo-1-dis-1,adv,bjo,1,dis,1,2017,0,0,0,0,4,0,1,0,0,0,5,7,0,n,0
adv-bjo-1-dis-1-w2,adv-bjo-1-dis-1,adv,bjo,1,dis,1,2017,0,0,0,1,1,0,2,0,0,0,0,12,0,p,1
adv-bjo-1-dis-1-w4,adv-bjo-1-dis-1,adv,bjo,1,dis,1,2017,1,5,0,1,1,0,2,0,0,0,0,12,0,p,1
adv-bjo-1-mos-1-n2,adv-bjo-1-mos-1,adv,bjo,1,mos,1,2017,0,1,0,1,6,0,7,0,0,0,0,12,0,p,1
adv-bjo-1-mos-1-n4,adv-bjo-1-mos-1,adv,bjo,1,mos,1,2017,1,0,1,1,4,0,7,0,0,0,0,12,0,p,1
adv-bjo-1-mos-1-e4,adv-bjo-1-mos-1,adv,bjo,1,mos,1,2017,2,6,0,0,4,0,1,0,0,7,0,5,0,n,0
adv-bjo-1-mos-1-e6,adv-bjo-1-mos-1,adv,bjo,1,mos,1,2017,1,3,0,0,0,0,3,0,0,12,0,0,0,n,0
adv-bjo-1-mos-1-s2,adv-bjo-1-mos-1,adv,bjo,1,mos,1,2017,1,0,0,0,7,0,8,1,0,0,0,12,0,n,0
adv-bjo-1-mos-1-s4,adv-bjo-1-mos-1,adv,bjo,1,mos,1,2017,0,0,0,0,6,0,1,0,0,0,0,12,0,n,0
adv-bjo-1-mos-1-w2,adv-bjo-1-mos-1,adv,bjo,1,mos,1,2017,0,0,0,0,8,0,10,0,0,0,0,12,0,n,0
adv-bjo-1-mos-1-w4,adv-bjo-1-mos-1,adv,bjo,1,mos,1,2017,0,3,1,0,7,0,9,0,0,0,0,12,0,n,0
adv-end-1-dis-1-n2,adv-end-1-dis-1,adv,end,1,dis,1,2017,0,0,0,3,1,0,10,0,0,0,0,12,0,c,1
adv-end-1-dis-1-n4,adv-end-1-dis-1,adv,end,1,dis,1,2017,0,0,0,3,2,0,6,0,0,0,0,12,0,c,1
adv-end-1-dis-1-e4,adv-end-1-dis-1,adv,end,1,dis,1,2017,0,0,0,3,4,0,5,0,0,0,0,12,0,c,1
adv-end-1-dis-1-e6,adv-end-1-dis-1,adv,end,1,dis,1,2017,0,0,0,3,4,0,0,0,0,0,0,12,0,c,1
adv-end-1-dis-1-s2,adv-end-1-dis-1,adv,end,1,dis,1,2017,0,0,0,2,4,0,3,0,0,0,0,12,0,b,1
adv-end-1-dis-1-s4,adv-end-1-dis-1,adv,end,1,dis,1,2017,0,0,0,2,8,0,2,0,0,0,0,12,0,b,1
adv-end-1-dis-1-w4,adv-end-1-dis-1,adv,end,1,dis,1,2017,2,0,0,2,3,0,3,0,0,0,6,6,0,b,1
adv-end-1-dis-1-w6,adv-end-1-dis-1,adv,end,1,dis,1,2017,1,0,0,0,4,0,2,0,0,0,0,12,0,n,0
adv-end-1-dry-1-n6,adv-end-1-dry-1,adv,end,1,dry,1,2017,1,0,0,0,2,0,7,0,0,0,1,0,11,n,0
adv-end-1-dry-1-n8,adv-end-1-dry-1,adv,end,1,dry,1,2017,0,0,0,0,7,0,6,0,2,0,1,0,9,n,0
adv-end-1-dry-1-e2,adv-end-1-dry-1,adv,end,1,dry,1,2017,0,0,0,0,2,0,5,0,3,2,2,0,5,n,0
adv-end-1-dry-1-e4,adv-end-1-dry-1,adv,end,1,dry,1,2017,0,0,0,0,1,0,7,0,0,0,2,10,0,n,0
adv-end-1-dry-1-s4,adv-end-1-dry-1,adv,end,1,dry,1,2017,0,0,0,0,0,0,3,0,1,2,4,0,5,n,0
adv-end-1-dry-1-s6,adv-end-1-dry-1,adv,end,1,dry,1,2017,0,0,0,0,5,0,9,0,2,1,2,0,4,n,0
adv-end-1-dry-1-w4,adv-end-1-dry-1,adv,end,1,dry,1,2017,0,0,0,0,8,0,6,0,0,0,2,0,10,n,0
adv-end-1-dry-1-w6,adv-end-1-dry-1,adv,end,1,dry,1,2017,0,0,0,0,4,0,6,0,0,1,4,0,7,n,0
adv-end-1-mos-1-n2,adv-end-1-mos-1,adv,end,1,mos,1,2017,1,1,0,0,2,0,3,0,0,0,1,11,0,n,0
adv-end-1-mos-1-n4,adv-end-1-mos-1,adv,end,1,mos,1,2017,1,0,0,0,2,0,0,0,0,0,0,12,0,n,0
adv-end-1-mos-1-e2,adv-end-1-mos-1,adv,end,1,mos,1,2017,0,0,0,1,3,0,2,0,0,0,0,12,0,p,1
adv-end-1-mos-1-e4,adv-end-1-mos-1,adv,end,1,mos,1,2017,1,0,0,1,2,0,3,0,0,0,0,12,0,p,1
adv-end-1-mos-1-s2,adv-end-1-mos-1,adv,end,1,mos,1,2017,0,0,0,0,3,0,2,0,0,0,2,12,0,n,0
adv-end-1-mos-1-s4,adv-end-1-mos-1,adv,end,1,mos,1,2017,0,0,0,1,4,0,6,0,0,0,0,12,0,p,1
adv-end-1-mos-1-w2,adv-end-1-mos-1,adv,end,1,mos,1,2017,1,0,0,1,3,0,0,0,0,0,0,12,0,p,1
adv-end-1-mos-1-w4,adv-end-1-mos-1,adv,end,1,mos,1,2017,0,0,0,0,3,0,1,0,0,0,0,12,0,n,0
adv-end-2-dis-1-n2,adv-end-2-dis-1,adv,end,2,dis,1,2017,0,0,0,1,2,0,2,0,0,0,0,12,0,p,1
adv-end-2-dis-1-n4,adv-end-2-dis-1,adv,end,2,dis,1,2017,0,0,0,0,1,0,0,0,0,0,0,12,0,n,0
adv-end-2-dis-1-e2,adv-end-2-dis-1,adv,end,2,dis,1,2017,1,0,0,1,4,0,2,0,0,0,0,12,0,p,1
adv-end-2-dis-1-e4,adv-end-2-dis-1,adv,end,2,dis,1,2017,3,0,0,0,3,0,6,0,0,0,0,12,0,n,0
adv-end-2-dis-1-s2,adv-end-2-dis-1,adv,end,2,dis,1,2017,0,0,0,3,3,0,2,0,0,1,0,11,0,c,1
adv-end-2-dis-1-s4,adv-end-2-dis-1,adv,end,2,dis,1,2017,0,0,0,1,2,0,3,0,0,0,0,12,0,p,1
adv-end-2-dis-1-w2,adv-end-2-dis-1,adv,end,2,dis,1,2017,1,0,0,1,4,0,7,0,0,0,0,12,0,p,1
adv-end-2-dis-1-w4,adv-end-2-dis-1,adv,end,2,dis,1,2017,1,0,0,0,6,0,11,0,0,0,0,12,0,n,0
adv-end-2-dry-1-n2,adv-end-2-dry-1,adv,end,2,dry,1,2017,0,5,0,0,5,0,5,0,0,0,2,10,0,n,0
adv-end-2-dry-1-n4,adv-end-2-dry-1,adv,end,2,dry,1,2017,0,0,0,0,5,0,1,0,0,0,7,5,0,n,0
adv-end-2-dry-1-e2,adv-end-2-dry-1,adv,end,2,dry,1,2017,0,0,0,0,8,0,5,0,0,0,5,7,0,n,0
adv-end-2-dry-1-e4,adv-end-2-dry-1,adv,end,2,dry,1,2017,0,131,0,0,8,0,9,0,0,0,3,9,0,n,0
adv-end-2-dry-1-s2,adv-end-2-dry-1,adv,end,2,dry,1,2017,0,2,1,0,7,0,4,0,0,0,6,6,0,n,0
adv-end-2-dry-1-s4,adv-end-2-dry-1,adv,end,2,dry,1,2017,0,2,0,0,8,0,4,0,0,0,10,2,0,n,0
adv-end-2-dry-1-w2,adv-end-2-dry-1,adv,end,2,dry,1,2017,0,0,0,0,5,0,2,0,0,0,9,3,0,n,0
adv-end-2-dry-1-w4,adv-end-2-dry-1,adv,end,2,dry,1,2017,0,61,0,0,6,0,2,0,0,0,8,4,0,n,0
adv-end-2-mos-1-n2,adv-end-2-mos-1,adv,end,2,mos,1,2017,0,0,0,0,5,0,2,0,0,0,6,6,0,n,0
adv-end-2-mos-1-n4,adv-end-2-mos-1,adv,end,2,mos,1,2017,0,0,0,0,5,0,2,0,0,0,0,12,0,n,0
adv-end-2-mos-1-e2,adv-end-2-mos-1,adv,end,2,mos,1,2017,0,0,0,0,6,0,2,0,0,0,0,12,0,n,0
adv-end-2-mos-1-e4,adv-end-2-mos-1,adv,end,2,mos,1,2017,1,0,0,0,7,0,3,1,0,0,1,11,0,n,0
adv-end-2-mos-1-s2,adv-end-2-mos-1,adv,end,2,mos,1,2017,0,0,0,0,5,0,5,0,0,0,0,12,0,n,0
adv-end-2-mos-1-s4,adv-end-2-mos-1,adv,end,2,mos,1,2017,0,0,0,0,5,0,3,0,0,0,0,12,0,n,0
adv-end-2-mos-1-w2,adv-end-2-mos-1,adv,end,2,mos,1,2017,0,0,0,1,3,0,3,0,0,0,0,12,0,p,1
adv-end-2-mos-1-w4,adv-end-2-mos-1,adv,end,2,mos,1,2017,0,0,0,1,5,0,1,0,0,0,0,12,0,p,1
alk-alk-1-mos-1-n2,alk-alk-1-mos-1,alk,alk,1,mos,1,2017,0,9,0,0,5,0,7,0,0,0,0,12,0,n,0
alk-alk-1-mos-1-n4,alk-alk-1-mos-1,alk,alk,1,mos,1,2017,2,0,0,1,3,0,6,0,0,0,0,12,0,p,1
alk-alk-1-mos-1-e2,alk-alk-1-mos-1,alk,alk,1,mos,1,2017,2,0,0,1,4,0,5,0,0,0,0,12,0,p,1
alk-alk-1-mos-1-e4,alk-alk-1-mos-1,alk,alk,1,mos,1,2017,0,2,0,0,1,0,5,0,0,0,0,12,0,n,0
alk-alk-1-mos-1-s2,alk-alk-1-mos-1,alk,alk,1,mos,1,2017,0,2,0,0,1,0,10,0,0,1,0,11,0,n,0
alk-alk-1-mos-1-s4,alk-alk-1-mos-1,alk,alk,1,mos,1,2017,1,18,0,0,6,0,8,1,0,0,0,12,0,n,0
alk-alk-1-mos-1-w2,alk-alk-1-mos-1,alk,alk,1,mos,1,2017,0,1,0,0,3,0,5,0,0,0,0,12,0,n,0
alk-alk-1-mos-1-w4,alk-alk-1-mos-1,alk,alk,1,mos,1,2017,1,1,1,0,7,0,9,0,0,0,0,7,0,n,0
alk-alk-1-mos-2-n2,alk-alk-1-mos-2,alk,alk,1,mos,2,2017,1,1,0,0,1,0,1,0,0,0,0,12,0,n,0
alk-alk-1-mos-2-n4,alk-alk-1-mos-2,alk,alk,1,mos,2,2017,1,0,0,0,0,0,6,2,0,0,0,12,0,n,0
alk-alk-1-mos-2-e2,alk-alk-1-mos-2,alk,alk,1,mos,2,2017,0,0,0,0,1,0,8,0,0,0,0,12,0,n,0
alk-alk-1-mos-2-e4,alk-alk-1-mos-2,alk,alk,1,mos,2,2017,3,0,0,0,6,0,6,1,0,0,0,12,0,n,0
alk-alk-1-mos-2-s2,alk-alk-1-mos-2,alk,alk,1,mos,2,2017,3,2,0,1,1,0,6,0,0,0,0,12,0,p,1
alk-alk-1-mos-2-s4,alk-alk-1-mos-2,alk,alk,1,mos,2,2017,0,5,0,0,4,0,3,0,0,0,0,12,0,n,0
alk-alk-1-mos-2-w2,alk-alk-1-mos-2,alk,alk,1,mos,2,2017,2,0,0,0,0,0,10,0,0,0,0,12,0,n,0
alk-alk-1-mos-2-w4,alk-alk-1-mos-2,alk,alk,1,mos,2,2017,1,2,0,0,0,0,7,0,0,1,0,11,0,n,0
