Plot_Nr;start_cm_of_grub; end_cm_of_grub;Year
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;0.68;0.84;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;6.32;7.52;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;11.2;11.67;2010
Nois1;NA;NA;2010
Nois1;11.74;12.44;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;18.1;18.51;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;21.64;22.34;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;24.15;25.6;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois1;NA;NA;2010
Nois2;NA;NA;2010
Nois2;2.14;3.89;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;8.42;8.89;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;10.87;10.99;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;12.2;12.29;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Nois2;16.18;16.83;2010
Nois2;NA;NA;2010
Nois2;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset4;NA;NA;2010
Gaset1;0.16;0.49;2010
Gaset1;0.84;1.26;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;1.6;3.09;2010
Gaset1;NA;NA;2010
