Plot_Nr;start_cm_of_grub; end_cm_of_grub;Year
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;3.8;4.19;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;4.4;4.56;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;4.75;5.89;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;6.47;6.6;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset1;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset2;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset5;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Gaset6;NA;NA;2010
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;6.36;7.52;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;11.2;12.47;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;16.5;16.81;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;17.98;18.49;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;19.73;19.81;2012
Nois1;21.1;21.19;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;21.57;22.37;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;24.2;25.41;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois1;NA;NA;2012
Nois2;NA;NA;2012
Nois2;2.3;3.79;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;5.3;5.47;2012
Nois2;NA;NA;2012
Nois2;5.84;5.91;2012
Nois2;6.5;6.77;2012
Nois2;7.1;7.19;2012
Nois2;NA;NA;2012
Nois2;7.3;7.36;2012
Nois2;7.52;7.57;2012
Nois2;7.7;7.77;2012
Nois2;7.85;7.89;2012
Nois2;8.43;8.49;2012
Nois2;8.6;8.89;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;12.1;12.72;2012
Nois2;13.2;13.29;2012
Nois2;13.72;13.94;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;NA;NA;2012
Nois2;17.96;18.01;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset4;NA;NA;2012
Gaset1;0.17;1.15;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;2.44;2.45;2012
Gaset1;2.6;2.61;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;2.99;3.03;2012
Gaset1;NA;NA;2012
Gaset1;3.22;3.33;2012
Gaset1;NA;NA;2012
Gaset1;3.82;3.85;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;4.18;4.22;2012
Gaset1;4.36;4.38;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;4.9;4.91;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;5.5;5.51;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset1;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset2;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset5;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Gaset6;NA;NA;2012
Nois1;NA;NA;2013
Nois1;0.37;0.38;2013
Nois1;NA;NA;2013
Nois1;0.77;0.82;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;2.55;2.65;2013
Nois1;2.62;2.65;2013
Nois1;2.74;2.79;2013
Nois1;3.01;3.1;2013
Nois1;3.17;3.26;2013
Nois1;3.34;3.48;2013
Nois1;NA;NA;2013
Nois1;3.9;3.93;2013
Nois1;NA;NA;2013
Nois1;4.49;4.56;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;5.88;5.97;2013
Nois1;6.3;7.54;2013
Nois1;7.8;9.3;2013
Nois1;8.02;8.16;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;9.2;9.38;2013
Nois1;NA;NA;2013
Nois1;9.7;9.73;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;10.5;10.92;2013
Nois1;NA;NA;2013
Nois1;10.64;10.75;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;10.81;10.84;2013
Nois1;10.88;10.9;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;11.02;11.07;2013
Nois1;11.14;11.2;2013
Nois1;11.25;11.3;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;12.88;13.93;2013
Nois1;NA;NA;2013
Nois1;15.44;15.54;2013
Nois1;15.49;15.51;2013
Nois1;NA;NA;2013
Nois1;15.69;15.71;2013
Nois1;15.87;15.94;2013
Nois1;16.02;16.07;2013
Nois1;16.22;16.25;2013
Nois1;NA;NA;2013
Nois1;16.56;16.58;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;16.78;16.83;2013
Nois1;16.84;16.89;2013
Nois1;NA;NA;2013
Nois1;17.02;17.09;2013
Nois1;17.12;17.16;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;17.52;17.56;2013
Nois1;17.62;17.65;2013
Nois1;NA;NA;2013
Nois1;17.73;17.76;2013
Nois1;NA;NA;2013
Nois1;17.97;18.02;2013
Nois1;NA;NA;2013
Nois1;18.3;18.4;2013
Nois1;19.44;19.46;2013
Nois1;NA;NA;2013
Nois1;19.71;19.96;2013
Nois1;21.12;21.2;2013
Nois1;NA;NA;2013
Nois1;21.49;21.53;2013
Nois1;21.57;21.63;2013
Nois1;22.35;23.06;2013
Nois1;22.58;22.7;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;23.54;23.56;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois1;23.86;23.9;2013
Nois1;NA;NA;2013
Nois1;23.99;24;2013
Nois1;NA;NA;2013
Nois1;24.42;24.46;2013
Nois1;25.49;26.4;2013
Nois1;NA;NA;2013
Nois1;26.25;26.26;2013
Nois1;NA;NA;2013
Nois1;NA;NA;2013
Nois2;0.34;0.43;2013
Nois2;NA;NA;2013
Nois2;3.77;5.16;2013
Nois2;4.02;4.18;2013
Nois2;4.11;4.15;2013
Nois2;NA;NA;2013
Nois2;NA;NA;2013
Nois2;NA;NA;2013
Nois2;6.64;6.68;2013
Nois2;7.02;7.04;2013
Nois2;7.12;7.16;2013
Nois2;7.3;7.36;2013
Nois2;7.56;7.61;2013
Nois2;NA;NA;2013
Nois2;NA;NA;2013
Nois2;NA;NA;2013
Nois2;NA;NA;2013
Nois2;NA;NA;2013
Nois2;9;9.21;2013
Nois2;9.75;9.9;2013
Nois2;NA;NA;2013
Nois2;NA;NA;2013
Nois2;NA;NA;2013
Nois2;NA;NA;2013
Nois2;NA;NA;2013
Nois2;NA;NA;2013
Nois2;NA;NA;2013
Nois2;NA;NA;2013
Nois2;NA;NA;2013
Nois2;NA;NA;2013
Nois2;12.32;12.45;2013
Nois2;13.22;13.25;2013
Nois2;13.38;13.4;2013
Nois2;14.76;14.79;2013
Nois2;16.48;16.54;2013
Nois2;16.88;17.16;2013
Nois2;NA;NA;2013
Gaset4;0.34;0.36;2013
Gaset4;0.5;1.46;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;2.22;2.23;2013
Gaset4;2.26;2.28;2013
Gaset4;NA;NA;2013
Gaset4;3.58;3.82;2013
Gaset4;3.91;5.29;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;6.95;6.97;2013
Gaset4;NA;NA;2013
Gaset4;7.43;7.7;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;7.73;7.79;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;8.1;8.63;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset4;NA;NA;2013
Gaset1;0.3;0.32;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;1.01;1.02;2013
Gaset1;NA;NA;2013
Gaset1;1.6;1.63;2013
Gaset1;NA;NA;2013
Gaset1;1.87;1.89;2013
Gaset1;2.21;2.23;2013
Gaset1;2.44;2.45;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;2.81;2.83;2013
Gaset1;2.87;2.89;2013
Gaset1;NA;NA;2013
Gaset1;3.06;3.07;2013
Gaset1;NA;NA;2013
Gaset1;3.68;3.71;2013
Gaset1;NA;NA;2013
Gaset1;3.88;3.92;2013
Gaset1;3.99;4.01;2013
Gaset1;NA;NA;2013
Gaset1;4.19;4.78;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;5.03;5.22;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;6.22;6.36;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;6.95;6.97;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;7.7;7.71;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset1;NA;NA;2013
Gaset2;0.73;0.89;2013
Gaset2;NA;NA;2013
Gaset2;1.02;1.03;2013
Gaset2;NA;NA;2013
Gaset2;NA;NA;2013
Gaset2;5.33;5.44;2013
Gaset2;NA;NA;2013
Gaset2;NA;NA;2013
Gaset2;5.71;5.75;2013
Gaset2;NA;NA;2013
Gaset2;5.9;5.95;2013
Gaset2;NA;NA;2013
Gaset2;6.58;6.64;2013
Gaset2;6.73;6.89;2013
Gaset2;7.02;7.13;2013
Gaset2;NA;NA;2013
Gaset2;NA;NA;2013
Gaset2;NA;NA;2013
Gaset2;7.37;7.6;2013
Gaset2;10.09;10.21;2013
Gaset2;10.35;10.46;2013
Gaset2;NA;NA;2013
Gaset2;NA;NA;2013
Gaset2;10.67;10.81;2013
Gaset2;10.88;10.94;2013
Gaset2;NA;NA;2013
Gaset5;0.33;0.39;2013
Gaset5;1.48;1.52;2013
Gaset5;3.09;3.33;2013
Gaset5;3.42;3.51;2013
Gaset5;3.59;3.61;2013
Gaset5;6.97;7.08;2013
Gaset5;7.21;7.24;2013
Gaset5;7.33;7.54;2013
Gaset5;8.2;8.31;2013
Gaset5;8.39;8.43;2013
Gaset5;10.27;10.3;2013
Gaset5;10.8;10.93;2013
Gaset5;11.03;11.13;2013
Gaset5;11.19;11.91;2013
Gaset5;11.96;12.17;2013
Gaset5;17.5;19.4;2013
Gaset5;NA;NA;2013
Gaset5;NA;NA;2013
Gaset5;20.44;20.48;2013
Gaset5;NA;NA;2013
Gaset5;20.96;21.02;2013
Gaset5;NA;NA;2013
Gaset5;NA;NA;2013
Gaset5;NA;NA;2013
Gaset5;21.97;22.02;2013
Gaset5;22.63;22.66;2013
Gaset5;22.72;22.75;2013
Gaset5;NA;NA;2013
Gaset5;NA;NA;2013
Gaset5;NA;NA;2013
Gaset5;NA;NA;2013
Gaset5;NA;NA;2013
Gaset6;1.3;4.04;2013
Gaset6;NA;NA;2013
Gaset6;NA;NA;2013
Gaset6;5.54;5.58;2013
Gaset6;6.02;6.06;2013
Gaset6;6.13;6.39;2013
Gaset6;6.41;6.52;2013
Gaset6;6.99;7.02;2013
Gaset6;8.14;9.79;2013
Gaset6;NA;NA;2013
Gaset6;NA;NA;2013
Gaset6;9.95;9.98;2013
