Plot_Nr;Year;count
Nois1;2010;1
Nois2;2010;1
Gaset1;2010;1
Nois1;2012;1
Nois2;2012;1
Gaset1;2012;1
Nois1;2013;1
Nois2;2013;1
Gaset1;2013;1
Gaset4;2013;1
Gaset2;2013;1
Gaset5;2013;1
Gaset6;2013;1
Nois1;2017;1
Gaset1;2017;1
Gaset4;2017;1
Gaset2;2017;1
Gaset5;2017;1
Gaset6;2017;1
Nois1;2018;1
Nois2;2018;1
Gaset1;2018;1
Gaset4;2018;1
Gaset2;2018;1
Gaset5;2018;1
Gaset6;2018;1
Nois1;2019;1
Nois2;2019;1
Gaset1;2019;1
Gaset4;2019;1
Gaset2;2019;1
Gaset5;2019;1
Gaset6;2019;1
Nois1;2022;1
Nois2;2022;1
Gaset1;2022;1
Gaset4;2022;1
Gaset2;2022;1
Gaset5;2022;1
Gaset6;2022;1
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
