year;date;location;transect;plot;transect_plot;frame_no;frame_square;grub;observer;utm_x;utm_y;grub_prob
2012;1807;Hanaskogdalen_N;1;1;11;3;19;1;Anna;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;3;20;0;Anna;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;3;21;1;Anna;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;3;22;1;Anna;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;3;23;1;Anna;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;3;24;1;Anna;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;3;25;1;Anna;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;1;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;2;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;3;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;4;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;5;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;6;0;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;7;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;8;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;9;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;10;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;11;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;12;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;13;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;14;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;15;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;16;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;17;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;18;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;19;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;20;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;21;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;22;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;23;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;24;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;4;25;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;1;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;2;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;3;0;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;4;0;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;5;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;6;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;7;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;8;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;9;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;10;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;11;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;12;0;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;13;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;14;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;15;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;16;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;17;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;18;1;AL;514141;8690292;0.5333
2012;1807;Hanaskogdalen_N;1;1;11;5;19;1;AL;514141;8690292;0.5333
