OBJECTID;Survey_type;Plot_Type;Valley;Transect_no;Plot_no;Date;Year;Recorder;GPS_X;GPS_Y;Coordinate_system;Elev;Slope;Veg_type;Veg_type2;Veg_type_reduced;Star;Agent;Geese_present;Only_geese;Area_impacted;Grubbed_low;Grubbed_mid;Grubbed_high;Patch_size_bare;Recent_grubbing;Grubbing_present;LT_veg_change;Spatial_extent;Comment;NoteRene;NoteHelen
11;Plot;Large;Stuttdalen;NA;14;NA;1998;RvdW;508841;8658082;ED1950;185;15.87;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;Plot;Large;Stuttdalen;NA;16;NA;1998;RvdW;508507;8658041;ED1950;135;3.64;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
192;Plot;Large;Stuttdalen;NA;16;NA;2018;RvdW;508507;8658041;ED1950;135;3.64;3;3;3;NA;R;N;N;M;NA;NA;NA;0;N;N;NA;NA;NA;NA;NA
13;Plot;Large;Stuttdalen;NA;18;NA;1998;RvdW;508255;8658065;ED1950;115;2.6;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
193;Plot;Large;Stuttdalen;NA;18;NA;2018;RvdW;508255;8658065;ED1950;115;2.6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;Plot;Large;Stuttdalen;NA;20;NA;1998;RvdW;508212;8658030;ED1950;114;2.47;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
194;Plot;Large;Stuttdalen;NA;20;NA;2018;RvdW;508212;8658030;ED1950;114;2.47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
195;Plot;Large;Semmeldalen;NA;22;NA;2018;RvdW;508045;8657787;ED1950;110;2.59;3.5;3.5;3.5;NA;G;Y;Y;M;NA;NA;NA;0;Y;Y;NA;NA;NA;NA;NA
15;Plot;Large;Semmeldalen;NA;22;NA;1998;RvdW;508045;8657787;ED1950;110;2.59;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;Plot;Large;Semmeldalen;NA;24;NA;1998;RvdW;508030;8657842;ED1950;110;0.89;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
196;Plot;Large;Semmeldalen;NA;24;NA;2018;RvdW;508030;8657842;ED1950;110;0.89;4;4;4;NA;G;Y;Y;L;NA;NA;NA;1;Y;Y;NA;NA;NA;NA;NA
17;Plot;Large;Semmeldalen;NA;26;NA;1998;RvdW;508055;8658180;ED1950;103;3.93;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
197;Plot;Large;Semmeldalen;NA;26;NA;2018;RvdW;508055;8658180;ED1950;103;3.93;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;Plot;Large;Skiferdalen;NA;28;NA;1998;RvdW;508150;8658577;ED1950;110;12.52;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
198;Plot;Large;Skiferdalen;NA;28;NA;2018;RvdW;508150;8658577;ED1950;110;12.52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;Plot;Large;Skiferdalen;NA;30;NA;1998;RvdW;508627;8658881;ED1950;170;6.62;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
199;Plot;Large;Skiferdalen;NA;30;NA;2018;RvdW;508627;8658881;ED1950;170;6.62;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;Plot;Large;Skiferdalen;NA;32;NA;1998;RvdW;508906;8658881;ED1950;220;12.77;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
200;Plot;Large;Skiferdalen;NA;32;NA;2018;RvdW;508906;8658881;ED1950;220;12.77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;Plot;Large;Skiferdalen;NA;34;NA;1998;RvdW;508934;8658923;ED1950;230;9.44;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
201;Plot;Large;Skiferdalen;NA;34;NA;2018;RvdW;508934;8658923;ED1950;230;9.44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
22;Plot;Large;Skiferdalen;NA;36;NA;1998;RvdW;509288;8659041;ED1950;305;21.75;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
202;Plot;Large;Skiferdalen;NA;36;NA;2018;RvdW;509288;8659041;ED1950;305;21.75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
23;Plot;Large;Skiferdalen;NA;38;NA;1998;RvdW;509563;8659348;ED1950;435;27.39;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
203;Plot;Large;Skiferdalen;NA;38;NA;2018;RvdW;509563;8659348;ED1950;435;27.39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;Plot;Large;Skiferdalen;NA;40;NA;1998;RvdW;509392;8659641;ED1950;450;24.43;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
204;Plot;Large;Skiferdalen;NA;40;NA;2018;RvdW;509392;8659641;ED1950;450;24.43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
25;Plot;Large;Skiferdalen;NA;42;NA;1998;RvdW;509316;8660166;ED1950;460;30.01;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
205;Plot;Large;Skiferdalen;NA;42;NA;2018;RvdW;509316;8660166;ED1950;460;30.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
26;Plot;Large;Skiferdalen;NA;44;NA;1998;RvdW;509354;8660109;ED1950;475;28.96;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
206;Plot;Large;Skiferdalen;NA;44;NA;2018;RvdW;509354;8660109;ED1950;475;28.96;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
27;Plot;Large;Skiferdalen;NA;46;NA;1998;RvdW;509094;8660558;ED1950;425;26.21;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
207;Plot;Large;Skiferdalen;NA;46;NA;2018;RvdW;509094;8660558;ED1950;425;26.21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
28;Plot;Large;Skiferdalen;NA;48;NA;1998;RvdW;508894;8660558;ED1950;335;21.79;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
208;Plot;Large;Skiferdalen;NA;48;NA;2018;RvdW;508894;8660558;ED1950;335;21.79;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;Plot;Large;Istjorndalen;NA;50;NA;1998;RvdW;507860;8659218;ED1950;315;9.86;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
209;Plot;Large;Istjorndalen;NA;50;NA;2018;RvdW;507860;8659218;ED1950;315;9.86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;Plot;Large;Istjorndalen;NA;52;NA;1998;RvdW;507697;8659338;ED1950;330;3.07;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
210;Plot;Large;Istjorndalen;NA;52;NA;2018;RvdW;507697;8659338;ED1950;330;3.07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;Plot;Large;Istjorndalen;NA;54;NA;1998;RvdW;507692;8659546;ED1950;345;10.74;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
211;Plot;Large;Istjorndalen;NA;54;NA;2018;RvdW;507692;8659546;ED1950;345;10.74;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
32;Plot;Large;Istjorndalen;NA;58;NA;1998;RvdW;507374;8659574;ED1950;350;25.52;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
212;Plot;Large;Istjorndalen;NA;58;NA;2018;RvdW;507374;8659574;ED1950;350;25.52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;Plot;Large;Istjorndalen;NA;60;NA;1998;RvdW;507235;8659508;ED1950;275;29.86;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
213;Plot;Large;Istjorndalen;NA;60;NA;2018;RvdW;507235;8659508;ED1950;275;29.86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;Plot;Large;Istjorndalen;NA;62;NA;1998;RvdW;506900;8659723;ED1950;275;22.02;9;9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
214;Plot;Large;Istjorndalen;NA;62;NA;2018;RvdW;506900;8659723;ED1950;275;22.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
35;Plot;Large;Istjorndalen;NA;64;NA;1998;RvdW;505999;8659988;ED1950;230;6.67;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
215;Plot;Large;Istjorndalen;NA;64;NA;2018;RvdW;505999;8659988;ED1950;230;6.67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
36;Plot;Large;Istjorndalen;NA;66;NA;1998;RvdW;506064;8659949;ED1950;230;8.58;4;4;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
