name;station;day;month;year;mean_temp
Svalbard Lufthavn;SN99840;1;5;1990;-12.2
Svalbard Lufthavn;SN99840;2;5;1990;-10.2
Svalbard Lufthavn;SN99840;3;5;1990;-10.8
Svalbard Lufthavn;SN99840;4;5;1990;-6
Svalbard Lufthavn;SN99840;5;5;1990;-5.8
Svalbard Lufthavn;SN99840;6;5;1990;-7.5
Svalbard Lufthavn;SN99840;7;5;1990;-7.4
Svalbard Lufthavn;SN99840;8;5;1990;-8.5
Svalbard Lufthavn;SN99840;9;5;1990;-5.1
Svalbard Lufthavn;SN99840;10;5;1990;-6.5
Svalbard Lufthavn;SN99840;11;5;1990;-5.8
Svalbard Lufthavn;SN99840;12;5;1990;-3.9
Svalbard Lufthavn;SN99840;13;5;1990;-1.8
Svalbard Lufthavn;SN99840;14;5;1990;-2.4
Svalbard Lufthavn;SN99840;15;5;1990;-3.9
Svalbard Lufthavn;SN99840;16;5;1990;-4.9
Svalbard Lufthavn;SN99840;17;5;1990;-4
Svalbard Lufthavn;SN99840;18;5;1990;-2.3
Svalbard Lufthavn;SN99840;19;5;1990;-1.6
Svalbard Lufthavn;SN99840;20;5;1990;-1.5
Svalbard Lufthavn;SN99840;21;5;1990;-1.4
Svalbard Lufthavn;SN99840;22;5;1990;-1.6
Svalbard Lufthavn;SN99840;23;5;1990;-1.7
Svalbard Lufthavn;SN99840;24;5;1990;-2.3
Svalbard Lufthavn;SN99840;25;5;1990;-2.7
Svalbard Lufthavn;SN99840;26;5;1990;-1.9
Svalbard Lufthavn;SN99840;27;5;1990;-0.7
Svalbard Lufthavn;SN99840;28;5;1990;1.8
Svalbard Lufthavn;SN99840;29;5;1990;-0.1
Svalbard Lufthavn;SN99840;30;5;1990;-0.8
Svalbard Lufthavn;SN99840;31;5;1990;-2.5
Svalbard Lufthavn;SN99840;1;5;1991;-2.5
Svalbard Lufthavn;SN99840;2;5;1991;-6
Svalbard Lufthavn;SN99840;3;5;1991;-9.2
Svalbard Lufthavn;SN99840;4;5;1991;-9.6
Svalbard Lufthavn;SN99840;5;5;1991;-12.2
Svalbard Lufthavn;SN99840;6;5;1991;-13.7
Svalbard Lufthavn;SN99840;7;5;1991;-11.8
Svalbard Lufthavn;SN99840;8;5;1991;-7.4
Svalbard Lufthavn;SN99840;9;5;1991;-6.8
Svalbard Lufthavn;SN99840;10;5;1991;-7.6
Svalbard Lufthavn;SN99840;11;5;1991;-9.8
Svalbard Lufthavn;SN99840;12;5;1991;-8
Svalbard Lufthavn;SN99840;13;5;1991;-6.5
Svalbard Lufthavn;SN99840;14;5;1991;-6.7
Svalbard Lufthavn;SN99840;15;5;1991;-6.7
Svalbard Lufthavn;SN99840;16;5;1991;-4.7
Svalbard Lufthavn;SN99840;17;5;1991;-0.6
Svalbard Lufthavn;SN99840;18;5;1991;2.1
Svalbard Lufthavn;SN99840;19;5;1991;0.4
Svalbard Lufthavn;SN99840;20;5;1991;-0.9
Svalbard Lufthavn;SN99840;21;5;1991;-0.6
Svalbard Lufthavn;SN99840;22;5;1991;-0.7
Svalbard Lufthavn;SN99840;23;5;1991;-1.1
Svalbard Lufthavn;SN99840;24;5;1991;-2.4
Svalbard Lufthavn;SN99840;25;5;1991;-1.8
Svalbard Lufthavn;SN99840;26;5;1991;-1
Svalbard Lufthavn;SN99840;27;5;1991;1.6
Svalbard Lufthavn;SN99840;28;5;1991;3.6
Svalbard Lufthavn;SN99840;29;5;1991;2.8
Svalbard Lufthavn;SN99840;30;5;1991;3.2
Svalbard Lufthavn;SN99840;31;5;1991;1.7
Svalbard Lufthavn;SN99840;1;5;1992;0.4
Svalbard Lufthavn;SN99840;2;5;1992;-0.7
Svalbard Lufthavn;SN99840;3;5;1992;-2.6
Svalbard Lufthavn;SN99840;4;5;1992;-4.5
Svalbard Lufthavn;SN99840;5;5;1992;-5
Svalbard Lufthavn;SN99840;6;5;1992;-0.8
Svalbard Lufthavn;SN99840;7;5;1992;-0.7
Svalbard Lufthavn;SN99840;8;5;1992;-1
Svalbard Lufthavn;SN99840;9;5;1992;1.2
Svalbard Lufthavn;SN99840;10;5;1992;-2.8
Svalbard Lufthavn;SN99840;11;5;1992;-5.6
Svalbard Lufthavn;SN99840;12;5;1992;-2.7
Svalbard Lufthavn;SN99840;13;5;1992;-1.7
Svalbard Lufthavn;SN99840;14;5;1992;-3.8
Svalbard Lufthavn;SN99840;15;5;1992;-4.8
Svalbard Lufthavn;SN99840;16;5;1992;-5.8
