ID,UTM_E,UTM_N
659,427193.6176,8758256.087
660,427192.9626,8758256.837
661,427192.3076,8758257.587
662,427191.6526,8758258.337
663,427190.9976,8758259.087
664,427190.3426,8758259.837
665,427189.6876,8758260.587
666,427189.0326,8758261.337
667,427188.3776,8758262.087
668,427187.7226,8758262.837
669,427187.0676,8758263.587
670,427186.4126,8758264.337
671,427185.7576,8758265.087
672,427185.1026,8758265.837
673,427184.4476,8758266.587
674,427183.7926,8758267.337
675,427183.1376,8758268.087
676,427182.4826,8758268.837
677,427181.8276,8758269.587
678,427181.1726,8758270.337
679,427180.5176,8758271.087
680,427179.8626,8758271.837
681,427179.2076,8758272.587
682,427178.5526,8758273.337
683,427177.8976,8758274.087
684,427177.2426,8758274.837
685,427176.5876,8758275.587
686,427175.9326,8758276.337
687,427175.2776,8758277.087
688,427174.6226,8758277.837
689,427173.9676,8758278.587
690,427173.3126,8758279.337
691,427172.6576,8758280.087
692,427172.0026,8758280.837
693,427171.3476,8758281.587
694,427170.6926,8758282.337
695,427170.0376,8758283.087
696,427169.3826,8758283.837
697,427168.7276,8758284.587
698,427168.0726,8758285.337
699,427167.4176,8758286.087
700,427166.7626,8758286.837
701,427166.1076,8758287.587
702,427165.4526,8758288.337
703,427164.7976,8758289.087
704,427164.1426,8758289.837
705,426671.6802,8759150.275
706,426670.9252,8759150.925
707,426670.1702,8759151.575
708,426669.4152,8759152.225
709,426668.6602,8759152.875
710,426667.9052,8759153.525
711,426667.1502,8759154.175
712,426666.3952,8759154.825
713,426665.6402,8759155.475
714,426664.8852,8759156.125
715,426664.1302,8759156.775
716,426663.3752,8759157.425
717,426662.6202,8759158.075
718,426661.8652,8759158.725
719,426661.1102,8759159.375
720,426660.3552,8759160.025
721,426659.6002,8759160.675
722,426658.8452,8759161.325
723,426658.0902,8759161.975
724,426657.3352,8759162.625
725,426656.5802,8759163.275
726,426655.8252,8759163.925
727,426655.0702,8759164.575
728,426654.3152,8759165.225
729,426653.5602,8759165.875
730,426652.8052,8759166.525
731,426652.0502,8759167.175
732,426651.2952,8759167.825
733,426650.5402,8759168.475
734,426649.7852,8759169.125
735,426649.0302,8759169.775
736,426648.2752,8759170.425
737,426647.5202,8759171.075
738,426646.7652,8759171.725
739,426646.0102,8759172.375
740,426645.2552,8759173.025
741,426644.5002,8759173.675
742,426643.7452,8759174.325
743,426642.9902,8759174.975
744,426642.2352,8759175.625
745,426641.4802,8759176.275
746,426640.7252,8759176.925
747,426639.9702,8759177.575
748,426639.2152,8759178.225
749,426638.4602,8759178.875
750,426637.7052,8759179.525
751,426636.9502,8759180.175
752,426636.1952,8759180.825
753,426635.4402,8759181.475
754,426634.6852,8759182.125
755,426633.9302,8759182.775
756,426633.1752,8759183.425
757,426632.4202,8759184.075
758,426631.6652,8759184.725
759,426630.9102,8759185.375
760,426630.1552,8759186.025
761,426629.4002,8759186.675
762,426628.6452,8759187.325
763,426627.8902,8759187.975
764,426627.1352,8759188.625
765,426626.3802,8759189.275
766,426625.6252,8759189.925
767,426624.8702,8759190.575
768,426624.1152,8759191.225
769,426623.3602,8759191.875
770,426622.6052,8759192.525
771,426621.8502,8759193.175
772,426621.0952,8759193.825
773,426620.3402,8759194.475
774,426619.5852,8759195.125
775,426618.8302,8759195.775
776,426618.0752,8759196.425
777,426617.3202,8759197.075
778,426616.5652,8759197.725
779,426615.8102,8759198.375
780,426615.0552,8759199.025
781,426614.3002,8759199.675
782,426613.5452,8759200.325
783,426612.7902,8759200.975
784,426612.0352,8759201.625
785,426611.2802,8759202.275
786,426610.5252,8759202.925
787,426609.7702,8759203.575
788,426609.0152,8759204.225
789,426608.2602,8759204.875
790,426607.5052,8759205.525
791,426606.7502,8759206.175
792,426605.9952,8759206.825
793,426605.2402,8759207.475
794,426604.4852,8759208.125
795,426603.7302,8759208.775
796,426602.9752,8759209.425
797,426602.2202,8759210.075
798,426601.4652,8759210.725
799,426600.7102,8759211.375
800,426599.9552,8759212.025
801,426599.2002,8759212.675
802,426598.4452,8759213.325
803,426597.6902,8759213.975
804,426596.9352,8759214.625
805,426596.1802,8759215.275
806,426595.4252,8759215.925
807,426594.6702,8759216.575
808,426593.9152,8759217.225
809,426593.1602,8759217.875
810,426592.4052,8759218.525
811,426591.6502,8759219.175
812,426590.8952,8759219.825
813,426590.1402,8759220.475
814,426589.3852,8759221.125
815,426588.6302,8759221.775
816,426587.8752,8759222.425
817,426587.1202,8759223.075
818,426586.3652,8759223.725
819,426585.6102,8759224.375
820,426584.8552,8759225.025
821,426584.1002,8759225.675
822,426583.3452,8759226.325
823,426582.5902,8759226.975
824,426581.8352,8759227.625
825,426581.0802,8759228.275
826,426580.3252,8759228.925
827,426579.5702,8759229.575
828,426578.8152,8759230.225
829,426578.0602,8759230.875
830,426577.3052,8759231.525
831,426576.5502,8759232.175
832,426575.7952,8759232.825
833,426575.0402,8759233.475
834,426574.2852,8759234.125
835,425474.9109,8760220.18
836,425474.4659,8760221.08
837,425474.0209,8760221.98
838,425473.5759,8760222.88
839,425473.1309,8760223.78
840,425472.6859,8760224.68
841,425472.2409,8760225.58
842,425471.7959,8760226.48
843,425471.3509,8760227.38
