Year,Sublocation,Survey_type,UTM_E,UTM_N,Datum,Grubbing_PresenceAbsence,Grubbing_Intensity,VegetationType_as_provided,DataShepherd,SpatialScale_GrubbingRecording,VegetationType_reclassified,Location_Valley,UTMZone,GrubbingType
2018,Istjorndalen,Valleywalk,506959,8659299,ED1950,0,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Istjorndalen,Valleywalk,506983,8659768,ED1950,0,0.75,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Istjorndalen,Valleywalk,506986,8659826,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Istjorndalen,Valleywalk,507793,8657869,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Istjorndalen,Valleywalk,507736,8658322,ED1950,0,0.75,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Skiferdalen,Valleywalk,508084,8658348,ED1950,1,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Skiferdalen,Valleywalk,508149,8658385,ED1950,1,0.15,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Skiferdalen,Valleywalk,508162,8658393,ED1950,0,NA,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Skiferdalen,Valleywalk,508868,8658798,ED1950,1,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Skiferdalen,Valleywalk,508881,8658805,ED1950,0,0.025,0,Rene,1,NA,Semmeldalen,NA,NA
2018,Colesdalen,Valleywalk,501866,8667540,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,501874,8667559,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,501882,8667579,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502082,8668063,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502090,8668082,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502474,8669012,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502482,8669032,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502490,8669051,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502498,8669070,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502506,8669090,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502514,8669109,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502522,8669129,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502530,8669148,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
2018,Colesdalen,Valleywalk,502538,8669167,ED1950,0,NA,0,Rene,1,NA,Colesdalen,NA,NA
