ID,Year,UTM_E,UTM_N,Location_Valley
1,2018,504549,8670643,Colesdalen
2,2018,510632,8669969,Colesdalen
3,2018,510623,8669946,Colesdalen
4,2018,510615,8669923,Colesdalen
5,2018,508018,8669909,Colesdalen
6,2018,510606,8669901,Colesdalen
7,2018,508018,8669898,Colesdalen
8,2018,508018,8669887,Colesdalen
9,2018,510597,8669878,Colesdalen
10,2018,508019,8669875,Colesdalen
11,2018,508019,8669864,Colesdalen
12,2018,510588,8669855,Colesdalen
13,2018,508019,8669853,Colesdalen
14,2018,508019,8669841,Colesdalen
15,2018,510580,8669832,Colesdalen
16,2018,508020,8669830,Colesdalen
17,2018,508020,8669819,Colesdalen
18,2018,510571,8669809,Colesdalen
19,2018,508021,8669796,Colesdalen
20,2018,510562,8669786,Colesdalen
21,2018,508021,8669785,Colesdalen
22,2018,508021,8669774,Colesdalen
23,2018,510553,8669763,Colesdalen
24,2018,508022,8669762,Colesdalen
25,2018,510545,8669741,Colesdalen
26,2018,508022,8669740,Colesdalen
27,2018,508023,8669728,Colesdalen
28,2018,510536,8669718,Colesdalen
29,2018,508023,8669717,Colesdalen
30,2018,508023,8669706,Colesdalen
31,2018,510527,8669695,Colesdalen
32,2018,508023,8669694,Colesdalen
33,2018,508024,8669683,Colesdalen
34,2018,510518,8669672,Colesdalen
35,2018,508024,8669672,Colesdalen
36,2018,508024,8669660,Colesdalen
37,2018,510510,8669649,Colesdalen
38,2018,508025,8669649,Colesdalen
39,2018,508025,8669638,Colesdalen
40,2018,510501,8669626,Colesdalen
41,2018,508025,8669626,Colesdalen
42,2018,508026,8669615,Colesdalen
43,2018,508026,8669604,Colesdalen
44,2018,510492,8669603,Colesdalen
45,2018,508026,8669592,Colesdalen
46,2018,508027,8669581,Colesdalen
47,2018,510483,8669580,Colesdalen
48,2018,508027,8669570,Colesdalen
49,2018,510474,8669558,Colesdalen
50,2018,508027,8669558,Colesdalen
51,2018,508028,8669547,Colesdalen
52,2018,508028,8669536,Colesdalen
53,2018,510466,8669535,Colesdalen
54,2018,508028,8669524,Colesdalen
55,2018,508028,8669513,Colesdalen
56,2018,510457,8669512,Colesdalen
57,2018,508029,8669502,Colesdalen
58,2018,508029,8669491,Colesdalen
59,2018,510448,8669489,Colesdalen
60,2018,508029,8669479,Colesdalen
61,2018,508030,8669468,Colesdalen
62,2018,510439,8669466,Colesdalen
63,2018,508030,8669457,Colesdalen
64,2018,508030,8669445,Colesdalen
65,2018,510431,8669443,Colesdalen
66,2018,508031,8669434,Colesdalen
67,2018,508031,8669423,Colesdalen
68,2018,510422,8669420,Colesdalen
69,2018,508031,8669411,Colesdalen
70,2018,510413,8669398,Colesdalen
71,2018,508871,8669390,Colesdalen
72,2018,508888,8669378,Colesdalen
73,2018,510404,8669375,Colesdalen
74,2018,508904,8669367,Colesdalen
75,2018,508921,8669355,Colesdalen
76,2018,510396,8669352,Colesdalen
77,2018,508937,8669343,Colesdalen
78,2018,508954,8669332,Colesdalen
79,2018,510387,8669329,Colesdalen
80,2018,508970,8669320,Colesdalen
81,2018,508987,8669308,Colesdalen
82,2018,509003,8669297,Colesdalen
83,2018,509020,8669285,Colesdalen
84,2018,509036,8669273,Colesdalen
85,2018,509053,8669262,Colesdalen
86,2018,508036,8669253,Colesdalen
87,2018,509070,8669250,Colesdalen
88,2018,508036,8669242,Colesdalen
89,2018,509086,8669238,Colesdalen
90,2018,510352,8669238,Colesdalen
91,2018,508036,8669230,Colesdalen
92,2018,509103,8669227,Colesdalen
93,2018,508036,8669219,Colesdalen
94,2018,509119,8669215,Colesdalen
95,2018,508037,8669208,Colesdalen
96,2018,509136,8669203,Colesdalen
97,2018,508037,8669196,Colesdalen
98,2018,510334,8669192,Colesdalen
99,2018,509152,8669191,Colesdalen
100,2018,508037,8669185,Colesdalen
101,2018,509169,8669180,Colesdalen
102,2018,508038,8669174,Colesdalen
103,2018,510325,8669169,Colesdalen
104,2018,509185,8669168,Colesdalen
105,2018,508038,8669162,Colesdalen
106,2018,509202,8669156,Colesdalen
107,2018,508038,8669151,Colesdalen
108,2018,510317,8669146,Colesdalen
109,2018,509219,8669145,Colesdalen
110,2018,508039,8669140,Colesdalen
111,2018,509235,8669133,Colesdalen
112,2018,508039,8669128,Colesdalen
113,2018,510308,8669123,Colesdalen
114,2018,509252,8669121,Colesdalen
115,2018,508039,8669117,Colesdalen
116,2018,509268,8669110,Colesdalen
117,2018,508040,8669106,Colesdalen
118,2018,510299,8669100,Colesdalen
119,2018,509285,8669098,Colesdalen
120,2018,508040,8669094,Colesdalen
121,2018,509301,8669086,Colesdalen
122,2018,508040,8669083,Colesdalen
123,2018,510290,8669077,Colesdalen
124,2018,509318,8669075,Colesdalen
125,2018,508041,8669072,Colesdalen
126,2018,509334,8669063,Colesdalen
127,2018,508041,8669060,Colesdalen
128,2018,510282,8669055,Colesdalen
129,2018,509351,8669051,Colesdalen
130,2018,508041,8669049,Colesdalen
131,2018,509367,8669040,Colesdalen
132,2018,508041,8669038,Colesdalen
133,2018,510273,8669032,Colesdalen
134,2018,509384,8669028,Colesdalen
135,2018,508042,8669026,Colesdalen
136,2018,508042,8669015,Colesdalen
137,2018,510264,8669009,Colesdalen
138,2018,508042,8669004,Colesdalen
139,2018,508043,8668992,Colesdalen
140,2018,509440,8668989,Colesdalen
141,2018,510255,8668986,Colesdalen
142,2018,508043,8668981,Colesdalen
143,2018,509459,8668976,Colesdalen
144,2018,508043,8668970,Colesdalen
145,2018,509478,8668963,Colesdalen
146,2018,510247,8668963,Colesdalen
147,2018,508044,8668959,Colesdalen
148,2018,509496,8668950,Colesdalen
149,2018,508044,8668947,Colesdalen
150,2018,510238,8668940,Colesdalen
151,2018,509515,8668937,Colesdalen
152,2018,508044,8668936,Colesdalen
153,2018,508045,8668925,Colesdalen
154,2018,509534,8668924,Colesdalen
