ID,Year,UTM_E,UTM_N,Location_Valley
155,2018,510229,8668917,Colesdalen
156,2018,508045,8668913,Colesdalen
157,2018,509553,8668911,Colesdalen
158,2018,508045,8668902,Colesdalen
159,2018,509571,8668898,Colesdalen
160,2018,510220,8668895,Colesdalen
161,2018,508045,8668891,Colesdalen
162,2018,509590,8668885,Colesdalen
163,2018,508046,8668879,Colesdalen
164,2018,509609,8668872,Colesdalen
165,2018,510212,8668872,Colesdalen
166,2018,508046,8668868,Colesdalen
167,2018,509627,8668859,Colesdalen
168,2018,508046,8668857,Colesdalen
169,2018,510203,8668849,Colesdalen
170,2018,509646,8668846,Colesdalen
171,2018,508047,8668845,Colesdalen
172,2018,508047,8668834,Colesdalen
173,2018,509665,8668833,Colesdalen
174,2018,510194,8668826,Colesdalen
175,2018,509684,8668820,Colesdalen
176,2018,509702,8668808,Colesdalen
177,2018,509721,8668795,Colesdalen
178,2018,509740,8668782,Colesdalen
179,2018,509759,8668769,Colesdalen
180,2018,509796,8668743,Colesdalen
181,2018,509815,8668730,Colesdalen
182,2018,509833,8668717,Colesdalen
183,2018,509852,8668704,Colesdalen
184,2018,509871,8668691,Colesdalen
185,2018,509890,8668678,Colesdalen
186,2018,509908,8668665,Colesdalen
187,2018,509927,8668652,Colesdalen
188,2018,509946,8668639,Colesdalen
189,2018,509965,8668626,Colesdalen
190,2018,509983,8668613,Colesdalen
191,2018,510002,8668600,Colesdalen
192,2018,508875,8668188,Colesdalen
193,2018,508874,8668168,Colesdalen
194,2018,508873,8668149,Colesdalen
195,2018,508872,8668129,Colesdalen
196,2018,508871,8668109,Colesdalen
197,2018,508870,8668090,Colesdalen
198,2018,508869,8668070,Colesdalen
199,2018,508868,8668050,Colesdalen
200,2018,508867,8668031,Colesdalen
201,2018,508865,8668011,Colesdalen
202,2018,508864,8667991,Colesdalen
203,2018,508863,8667972,Colesdalen
204,2018,508862,8667952,Colesdalen
205,2018,508861,8667932,Colesdalen
206,2018,508860,8667913,Colesdalen
207,2018,508859,8667893,Colesdalen
208,2018,508858,8667873,Colesdalen
209,2018,508857,8667854,Colesdalen
210,2018,508856,8667834,Colesdalen
211,2018,508855,8667814,Colesdalen
212,2018,508854,8667795,Colesdalen
213,2018,508853,8667775,Colesdalen
214,2018,508852,8667755,Colesdalen
215,2018,508851,8667736,Colesdalen
216,2018,508850,8667716,Colesdalen
217,2018,508849,8667696,Colesdalen
218,2018,508847,8667677,Colesdalen
219,2018,508846,8667657,Colesdalen
220,2018,508845,8667637,Colesdalen
221,2018,508844,8667618,Colesdalen
222,2018,508843,8667598,Colesdalen
223,2018,508842,8667578,Colesdalen
224,2018,508841,8667559,Colesdalen
225,2018,508840,8667539,Colesdalen
226,2018,508839,8667519,Colesdalen
227,2018,508838,8667500,Colesdalen
228,2018,508837,8667480,Colesdalen
229,2018,508836,8667460,Colesdalen
230,2018,508835,8667441,Colesdalen
231,2018,508834,8667421,Colesdalen
232,2018,508832,8667382,Colesdalen
233,2018,508829,8667342,Colesdalen
234,2018,508828,8667323,Colesdalen
235,2018,508827,8667303,Colesdalen
236,2018,508826,8667283,Colesdalen
237,2018,508825,8667264,Colesdalen
238,2018,508824,8667244,Colesdalen
239,2018,508823,8667224,Colesdalen
240,2018,508822,8667205,Colesdalen
241,2018,508821,8667185,Colesdalen
242,2018,508820,8667165,Colesdalen
243,2018,508819,8667146,Colesdalen
244,2018,508818,8667126,Colesdalen
245,2018,508817,8667106,Colesdalen
246,2018,508816,8667087,Colesdalen
247,2018,508815,8667067,Colesdalen
248,2018,508814,8667047,Colesdalen
249,2018,508813,8667028,Colesdalen
250,2018,508809,8666969,Colesdalen
251,2018,508808,8666949,Colesdalen
252,2018,508807,8666930,Colesdalen
253,2018,508806,8666910,Colesdalen
254,2018,508805,8666890,Colesdalen
255,2018,508804,8666871,Colesdalen
256,2018,508803,8666851,Colesdalen
257,2018,508802,8666831,Colesdalen
258,2018,508801,8666812,Colesdalen
259,2018,508800,8666792,Colesdalen
260,2018,508799,8666772,Colesdalen
261,2018,508798,8666753,Colesdalen
262,2018,508797,8666733,Colesdalen
263,2018,508796,8666713,Colesdalen
264,2018,508795,8666694,Colesdalen
265,2018,508793,8666674,Colesdalen
266,2018,508792,8666654,Colesdalen
267,2018,508791,8666635,Colesdalen
268,2018,508790,8666615,Colesdalen
269,2018,508789,8666595,Colesdalen
270,2018,508788,8666576,Colesdalen
271,2018,508787,8666556,Colesdalen
272,2018,508786,8666536,Colesdalen
273,2018,508785,8666517,Colesdalen
274,2018,508784,8666497,Colesdalen
275,2018,508783,8666477,Colesdalen
276,2018,508782,8666458,Colesdalen
277,2018,508781,8666438,Colesdalen
278,2018,508780,8666418,Colesdalen
279,2018,508779,8666399,Colesdalen
280,2018,508778,8666379,Colesdalen
281,2018,508777,8666359,Colesdalen
282,2018,508775,8666340,Colesdalen
283,2018,508774,8666320,Colesdalen
284,2018,508773,8666300,Colesdalen
285,2018,508772,8666281,Colesdalen
286,2018,508771,8666261,Colesdalen
287,2018,508770,8666241,Colesdalen
288,2018,508769,8666222,Colesdalen
289,2018,508768,8666202,Colesdalen
290,2018,508767,8666182,Colesdalen
291,2018,508766,8666163,Colesdalen
292,2018,508765,8666143,Colesdalen
293,2018,508764,8666123,Colesdalen
294,2018,508763,8666104,Colesdalen
295,2018,508762,8666084,Colesdalen
296,2018,508761,8666064,Colesdalen
297,2018,508760,8666045,Colesdalen
298,2018,508759,8666025,Colesdalen
299,2018,508757,8666005,Colesdalen
300,2018,508756,8665986,Colesdalen
301,2018,508755,8665966,Colesdalen
302,2018,508753,8665927,Colesdalen
303,2018,508750,8665868,Colesdalen
304,2018,508749,8665848,Colesdalen
305,2018,509128.0814507695,8657895.561970536,Semmeldalen
306,2018,509034.082072146,8657955.562000424,Semmeldalen
307,2018,508960.0826444021,8658028.561906656,Semmeldalen
308,2018,508865.08277378825,8657934.562640924,Semmeldalen
309,2018,508777.08298091375,8657874.563197829,Semmeldalen
310,2018,508443.0843690385,8657833.56446151,Semmeldalen
311,2018,507981.0856525328,8657579.56710766,Semmeldalen
312,2018,507966.08589819935,8657634.566905718,Semmeldalen
313,2018,506868.0894714385,8657193.572454765,Semmeldalen
314,2018,506616.0909308578,8657290.572826672,Semmeldalen
315,2018,505351.0967493268,8657310.576819481,Semmeldalen
316,2018,505034.0982943352,8657342.577697713,Semmeldalen
317,2018,507969.0835817535,8656920.57014528,Semmeldalen
318,2018,504762.0990951904,8657207.579190217,Semmeldalen
319,2018,504041.1020794459,8657116.581933307,Semmeldalen
320,2018,507905.0797264276,8655634.576201832,Semmeldalen
321,2018,508019.0789243086,8655546.576234581,Semmeldalen
322,2018,508707.07578558533,8655543.574030887,Semmeldalen
323,2018,506091.0908497472,8656525.578000722,Semmeldalen
324,2018,506845.08569803665,8655991.5779964,Semmeldalen
325,2018,506716.08669433347,8656118.577834977,Semmeldalen
326,2018,508079.08406483993,8657225.56840265,Semmeldalen
327,2018,508078.08408551523,8657230.56838312,Semmeldalen
328,2018,508681.0771219891,8655921.572395148,Semmeldalen
329,2018,509377.07176194317,8655240.57325067,Semmeldalen
330,2018,509716.06976585364,8655099.572800266,Semmeldalen
331,2018,510041.0677626724,8654936.572495257,Semmeldalen
332,2018,510354.06611354457,8654866.571806034,Semmeldalen
333,2018,510408.065809961,8654848.571714092,Semmeldalen
334,2018,510476.0657517149,8654926.5711403545,Semmeldalen
335,2018,510205.0646892559,8654213.575255912,Semmeldalen
336,2018,510010.06571124203,8654255.575692581,Semmeldalen
337,2018,509686.06589683465,8653855.578554563,Semmeldalen
338,2018,509921.0647671878,8653836.577884495,Semmeldalen
339,2018,509996.05959269416,8652334.58447131,Semmeldalen
340,2018,510188.0577807947,8652042.585180728,Semmeldalen
341,2018,510264.05706552207,8651927.585458897,Semmeldalen
342,2018,511080.0500106239,8650886.587565603,Semmeldalen
343,2018,511037.0474805937,8650038.591556247,Semmeldalen
344,2018,511007.04685526685,8649801.592729127,Semmeldalen
345,2018,510929.0466535924,8649628.593765477,Semmeldalen
346,2018,507275.0633405828,8649659.605376361,Semmeldalen
347,2018,506870.06555823004,8649777.606144708,Semmeldalen
348,2018,506519.06735052116,8649839.606993593,Semmeldalen
349,2018,505915.07107022643,8650143.607559605,Semmeldalen
350,2018,505181.074767701,8650257.609407438,Semmeldalen
351,2018,504886.0762736044,8650309.610122323,Semmeldalen
352,2018,504859.0757772072,8650117.611080397,Semmeldalen
353,2018,505084.0740346356,8649893.611371413,Semmeldalen
354,2018,505986.069208306,8649665.609499695,Semmeldalen
355,2018,506374.0672870306,8649615.60847693,Semmeldalen
356,2018,508648.06310402777,8651522.592498502,Semmeldalen
357,2018,508610.063427904,8651569.59240732,Semmeldalen
358,2018,508905.06508139014,8652499.58723251,Semmeldalen
359,2018,509181.064599799,8652739.58525339,Semmeldalen
360,2018,509255.06499099673,8652965.58398802,Semmeldalen
361,2018,509163.06647473224,8653296.582779657,Semmeldalen
362,2018,508929.06851075444,8653598.582160277,Semmeldalen
363,2018,508286.07412336377,8654433.5804353,Semmeldalen
364,2018,510898.0920482282,8663682.529883362,Colesdalen
365,2018,510463.0973707556,8664716.52656786,Colesdalen
366,2018,509749.10364307434,8665649.52461417,Colesdalen
367,2018,509689.10413666343,8665717.524497528,Colesdalen
368,2018,506359.1235187045,8667010.529362995,Colesdalen
369,2018,506284.12350170384,8666899.530112425,Colesdalen
370,2018,506312.12205330183,8666491.531883925,Colesdalen
371,2018,507821.11502054776,8666446.52720723,Colesdalen
372,2018,505543.1272978596,8667027.531927291,Colesdalen
373,2018,505476.1282480781,8667226.531236034,Colesdalen
374,2018,505054.1298013802,8667111.533127664,Colesdalen
375,2018,504672.1312884963,8667032.534725605,Colesdalen
376,2018,503642.1361852605,8667093.537785001,Colesdalen
377,2018,502426.1380478698,8665957.546907887,Semmeldalen
378,2018,508098.08702960843,8658171.564035622,Semmeldalen
379,2019,509382.1233877319,8671237.500264041,Fardalen
380,2019,509375.12334855157,8671215.500387328,Fardalen
381,2019,509361.1232669544,8671170.50063847,Fardalen
382,2019,509354.12322777376,8671148.500761751,Fardalen
383,2019,509347.1231885931,8671126.500885032,Fardalen
384,2019,509340.12314941245,8671104.501008308,Fardalen
385,2019,509326.1230710506,8671060.501254868,Fardalen
386,2019,509319.1230318697,8671038.501378145,Fardalen
387,2019,509312.1229926887,8671016.50150142,Fardalen
388,2019,509305.1229502714,8670993.501629269,Fardalen
389,2019,509298.1229110901,8670971.501752542,Fardalen
390,2019,509291.1228719089,8670949.501875818,Fardalen
391,2019,509277.1227935462,8670905.50212236,Fardalen
392,2019,509270.1227543646,8670883.50224563,Fardalen
393,2019,509263.122715183,8670861.502368899,Fardalen
394,2019,509249.1226335836,8670816.502620008,Fardalen
395,2019,509242.1225944018,8670794.50274327,Fardalen
396,2019,509235.12255522,8670772.502866535,Fardalen
397,2019,509228.12251603795,8670750.502989803,Fardalen
398,2019,509221.12247685593,8670728.503113063,Fardalen
399,2019,509214.1224376739,8670706.503236327,Fardalen
400,2019,509207.1223984916,8670684.50335959,Fardalen
401,2019,509200.1223593093,8670662.503482845,Fardalen
402,2019,509193.1223168911,8670639.50361068,Fardalen
403,2018,503154.14980696555,8670606.523332024,Colesdalen
404,2019,509179.1222385261,8670595.503857195,Fardalen
405,2019,509153.12233799807,8670589.503968768,Fardalen
406,2019,509136.1224124957,8670588.50402835,Fardalen
407,2018,503146.14978183544,8670587.523444768,Colesdalen
408,2019,509119.12248375703,8670586.504092505,Fardalen
409,2019,509102.1225582543,8670585.504152091,Fardalen
410,2019,509085.1226295148,8670583.50421625,Fardalen
411,2019,509068.1227040112,8670582.504275836,Fardalen
412,2019,509051.12277527124,8670580.504339995,Fardalen
413,2019,509034.12284976686,8670579.504399577,Fardalen
414,2019,509017.12292102614,8670577.504463742,Fardalen
415,2019,508212.12659829034,8670576.50707391,Fardalen
416,2019,508240.12647028326,8670576.50698326,Fardalen
417,2019,508257.12638608954,8670574.50693737,Fardalen
418,2019,508983.1230667795,8670574.504587488,Fardalen
419,2019,508966.1231412738,8670573.504647074,Fardalen
420,2019,508225.1265259088,8670572.50705011,Fardalen
421,2019,508274.12629865826,8670571.506896053,Fardalen
422,2019,508949.1232125316,8670571.504711237,Fardalen
423,2019,508933.123282453,8670570.504767587,Fardalen
424,2019,508291.12621446414,8670569.506850163,Fardalen
425,2019,508916.12335371,8670568.50483175,Fardalen
426,2018,503138.1497534595,8670567.523562076,Colesdalen
427,2019,508307.12613484176,8670567.50680751,Fardalen
428,2019,508899.12342820293,8670567.504891338,Fardalen
429,2019,508882.12349945924,8670565.504955504,Fardalen
430,2019,508324.1260474102,8670564.506766194,Fardalen
431,2019,508865.12357395166,8670564.505015094,Fardalen
432,2019,508341.1259632158,8670562.506720304,Fardalen
433,2019,508848.1236452072,8670562.505079255,Fardalen
434,2019,508831.12371969887,8670561.505138848,Fardalen
435,2019,508358.1258757838,8670559.506678991,Fardalen
436,2019,508814.1237909535,8670559.505203012,Fardalen
437,2019,508797.1238654446,8670558.505262604,Fardalen
438,2019,508375.1257915891,8670557.506633103,Fardalen
439,2019,508780.1239366987,8670556.505326768,Fardalen
440,2019,508391.1257119659,8670555.506590452,Fardalen
441,2019,508763.124011189,8670555.505386362,Fardalen
442,2019,508214.126517923,8670554.507168015,Fardalen
443,2019,508746.1240824422,8670553.505450526,Fardalen
444,2019,508408.1256245336,8670552.50654914,Fardalen
445,2019,508729.124156932,8670552.50551012,Fardalen
446,2019,508425.12554033846,8670550.506503254,Fardalen
447,2019,508712.12422818446,8670550.505574286,Fardalen
448,2018,503130.149728329,8670548.523674818,Colesdalen
449,2019,508442.125452906,8670547.50646194,Fardalen
450,2019,508678.1243739253,8670547.50569805,Fardalen
451,2019,508662.12444384146,8670546.50575441,Fardalen
452,2019,508459.12536871055,8670545.50641606,Fardalen
453,2019,508645.12451509276,8670544.505818577,Fardalen
454,2019,508628.1245895802,8670543.505878173,Fardalen
455,2019,508476.1252812779,8670542.506374743,Fardalen
456,2019,508611.1246608307,8670541.505942341,Fardalen
457,2019,508492.125201654,8670540.506332098,Fardalen
458,2019,508594.12473531766,8670540.50600194,Fardalen
459,2019,508509.12511745794,8670538.506286217,Fardalen
460,2019,508577.1248065674,8670538.50606611,Fardalen
461,2019,508560.1248810535,8670537.506125707,Fardalen
462,2019,508543.1249555395,8670536.506185308,Fardalen
463,2019,508526.12503002497,8670535.506244903,Fardalen
464,2019,508217.12643622205,8670533.507254317,Fardalen
465,2018,503122.1497031982,8670529.523787552,Colesdalen
466,2019,508219.1263558561,8670511.507348422,Fardalen
467,2018,503114.1496748216,8670509.523904858,Colesdalen
468,2018,503106.1496496906,8670490.524017595,Colesdalen
469,2019,508221.12627549045,8670489.507442532,Fardalen
470,2018,503098.1496213136,8670470.524134897,Colesdalen
471,2019,508224.1261905542,8670467.507533401,Fardalen
472,2018,503090.1495961822,8670451.524247637,Colesdalen
473,2019,508226.12611342716,8670446.507622933,Fardalen
474,2018,503082.1495710505,8670432.524360368,Colesdalen
475,2019,508229.126028492,8670424.507713806,Fardalen
476,2018,503074.149542673,8670412.524477672,Colesdalen
477,2018,504492.14305991813,8670410.5198864,Colesdalen
478,2018,504466.1431559794,8670403.520002702,Colesdalen
479,2019,508231.12594812905,8670402.507807909,Fardalen
480,2018,503066.1495175409,8670393.524590403,Colesdalen
481,2018,504498.1429546742,8670386.51997658,Colesdalen
482,2018,502540.15189664706,8670386.526329678,Colesdalen
483,2018,504448.14317333454,8670383.52015244,Colesdalen
484,2019,508233.1258710036,8670381.50789744,Fardalen
485,2018,503058.14949240856,8670374.524703138,Colesdalen
486,2018,502516.1519477958,8670368.526489781,Colesdalen
487,2018,504430.1431939319,8670364.520297617,Colesdalen
488,2018,504505.14284486335,8670362.520063516,Colesdalen
489,2019,508236.1257860705,8670359.507988306,Fardalen
490,2018,503050.14946403034,8670354.524820434,Colesdalen
491,2018,502493.1519911306,8670349.526651204,Colesdalen
492,2018,504411.1432158524,8670344.520450596,Colesdalen
493,2018,504512.14273181045,8670337.520155014,Colesdalen
494,2019,508238.12570570916,8670337.508082408,Fardalen
495,2018,503042.14943889773,8670335.524933167,Colesdalen
496,2018,502469.1520422761,8670331.526811304,Colesdalen
497,2018,504393.14323644765,8670325.520595767,Colesdalen
498,2018,503034.14941051934,8670315.525050463,Colesdalen
499,2019,508241.1256207772,8670315.508173274,Fardalen
500,2018,504519.1426220018,8670313.520241948,Colesdalen
501,2018,502445.15209342004,8670313.526971407,Colesdalen
502,2018,504374.1432583661,8670305.52074875,Colesdalen
503,2018,503026.14938538615,8670296.525163194,Colesdalen
504,2018,502421.1521445622,8670295.52713151,Colesdalen
505,2019,508243.12554365426,8670294.508262804,Fardalen
506,2018,504526.14250895096,8670288.52033345,Colesdalen
507,2018,504356.1432757159,8670285.520898486,Colesdalen
508,2018,503018.14936025284,8670277.525275923,Colesdalen
509,2018,502398.15218789066,8670276.52729293,Colesdalen
510,2019,508245.1254632949,8670272.508356905,Fardalen
511,2018,504338.1432963078,8670266.521043653,Colesdalen
512,2018,504532.14240371203,8670264.520423627,Colesdalen
513,2018,502374.15223902976,8670258.527453028,Colesdalen
514,2018,503010.1493318739,8670257.525393218,Colesdalen
515,2019,508248.12537836493,8670250.508447766,Fardalen
516,2018,504319.1433182227,8670246.521196634,Colesdalen
517,2018,502355.15228681813,8670246.527569499,Colesdalen
518,2018,504539.14229066344,8670239.520515123,Colesdalen
519,2018,503002.14930674015,8670238.525505943,Colesdalen
520,2018,502337.1523332866,8670235.527678162,Colesdalen
521,2019,508250.12530124356,8670229.508537296,Fardalen
522,2018,504301.1433388127,8670227.521341797,Colesdalen
523,2018,502318.1523810733,8670223.527794633,Colesdalen
524,2018,502994.14928160637,8670219.52561867,Colesdalen
525,2018,504546.142180859,8670215.520602055,Colesdalen
526,2018,502299.1524321055,8670212.52790654,Colesdalen
527,2018,504283.14335615805,8670207.521491531,Colesdalen
528,2019,508253.12521631474,8670207.508628158,Fardalen
529,2018,502281.15247532487,8670200.52801977,Colesdalen
530,2018,502986.1492532267,8670199.525735963,Colesdalen
531,2018,504553.1420710554,8670191.520688985,Colesdalen
532,2018,504264.14338131296,8670188.521639938,Colesdalen
533,2018,502262.15252310864,8670188.528136237,Colesdalen
534,2019,508255.1251359578,8670185.508722257,Fardalen
535,2018,502978.1492280924,8670180.525848689,Colesdalen
536,2018,504246.14339865616,8670168.521789672,Colesdalen
537,2018,504560.1419580101,8670166.520780485,Colesdalen
538,2018,502225.15261735517,8670165.528361375,Colesdalen
539,2019,508257.1250556013,8670163.508816354,Fardalen
540,2018,502206.1526683829,8670154.528473277,Colesdalen
541,2018,504228.14341924165,8670149.521934837,Colesdalen
542,2018,504567.1418482087,8670142.520867413,Colesdalen
543,2018,502188.1527115979,8670142.528586505,Colesdalen
544,2019,508260.1249739113,8670142.508902643,Fardalen
545,2018,502962.14917457785,8670141.526078701,Colesdalen
546,2018,502169.15276262397,8670131.528698409,Colesdalen
547,2018,504209.14344114985,8670129.522087809,Colesdalen
548,2019,508262.1248935561,8670120.50899674,Fardalen
549,2018,502150.15281040233,8670119.52881488,Colesdalen
550,2018,504573.14173973294,8670117.520962154,Colesdalen
551,2018,504191.14346173336,8670110.522232974,Colesdalen
552,2018,502132.1528536146,8670107.528928107,Colesdalen
553,2018,502946.14912106254,8670102.526308713,Colesdalen
554,2019,508264.12481320155,8670098.509090833,Fardalen
555,2018,502113.1529046379,8670096.529040014,Colesdalen
556,2018,504580.1416299337,8670093.521049079,Colesdalen
557,2018,504173.14347907214,8670090.5223827,Colesdalen
558,2018,502094.1529524138,8670084.529156484,Colesdalen
559,2018,502938.14909592713,8670083.526421433,Colesdalen
560,2019,508267.12472827657,8670076.509181693,Fardalen
561,2018,502076.15299887024,8670073.529265145,Colesdalen
562,2018,504154.14350097685,8670070.522535672,Colesdalen
563,2018,504587.14151689265,8670068.521140575,Colesdalen
564,2018,502930.1490707917,8670064.526534153,Colesdalen
565,2018,502057.15304664406,8670061.529381612,Colesdalen
566,2019,508269.12465115986,8670055.509271214,Fardalen
567,2018,502038.153094417,8670049.529498085,Colesdalen
568,2018,502922.1490424105,8670044.526651438,Colesdalen
569,2018,504594.14140709554,8670044.521227505,Colesdalen
570,2018,502020.153140871,8670038.529606745,Colesdalen
571,2019,508272.12456623616,8670033.509362072,Fardalen
572,2018,502001.1531886421,8670026.529723218,Colesdalen
573,2018,502914.14901727467,8670025.526764156,Colesdalen
574,2018,504601.1412972992,8670020.521314433,Colesdalen
575,2018,501982.15323965915,8670015.529835124,Colesdalen
576,2018,504099.1435640376,8670012.522978965,Colesdalen
577,2019,508274.12448588404,8670011.509456163,Fardalen
578,2018,502906.1489888932,8670005.526881441,Colesdalen
579,2018,501964.15328286367,8670003.529948348,Colesdalen
580,2018,504608.1411842615,8669995.521405924,Colesdalen
581,2018,504081.14358137094,8669992.523128686,Colesdalen
582,2018,501945.1533306321,8669991.530064816,Colesdalen
583,2019,508276.12440876925,8669990.509545684,Fardalen
584,2018,502898.1489637569,8669986.526994154,Colesdalen
585,2018,501927.1533770816,8669980.530173477,Colesdalen
586,2018,504063.1436019469,8669973.523273844,Colesdalen
587,2018,504614.1410790347,8669971.521496091,Colesdalen
588,2018,501908.1534248482,8669968.530289948,Colesdalen
589,2018,502890.14893862046,8669967.527106874,Colesdalen
590,2018,501889.1534758609,8669957.530401854,Colesdalen
591,2018,504044.143623845,8669953.523426812,Colesdalen
592,2018,502882.1489102384,8669947.527224157,Colesdalen
593,2019,508281.1242434968,8669946.509730631,Fardalen
594,2018,504026.1436444186,8669934.523571964,Colesdalen
595,2018,501852.1535668248,8669933.530631546,Colesdalen
596,2018,502874.14888510155,8669928.527336868,Colesdalen
597,2019,508284.1241585763,8669924.509821484,Fardalen
598,2018,504628.14085620706,8669922.52167451,Colesdalen
